"NHS Hospital & Community Health Service (HCHS) workforce statistics: All staff by nationality and HEE region in NHS Trusts and CCGs in England, 31 March 2016 to 31 March 2017, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,March 2016,,,,,,,,,,,,,,,March 2017,,,,,,,,,,,,,
,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All nationalities,,"1,164,471","89,750","104,175","87,282","71,808","72,684","184,616","53,201","60,981","93,408","38,631","55,991","128,660","124,200",,"1,187,125","93,070","107,273","88,054","73,945","72,763","188,424","54,023","62,471","96,111","39,035","56,101","129,988","126,727"
,Malagasy,2,-,1,-,-,-,-,-,-,-,-,-,1,-,,1,-,1,-,-,-,-,-,-,-,-,-,-,-
,Malawian,206,37,27,19,12,3,41,6,8,10,8,3,18,14,,211,39,29,16,14,3,38,5,8,11,5,4,22,17
,Malaysian,"2,010",193,185,132,245,110,316,147,166,64,59,61,176,162,,"2,124",198,207,135,244,125,341,143,174,68,71,67,179,172
,Maldivian,12,-,4,1,-,-,3,-,1,1,-,-,2,-,,20,1,4,2,1,-,6,1,1,1,-,1,2,-
,Malian,2,-,1,-,-,-,1,-,-,-,-,-,-,-,,1,-,-,-,-,-,1,-,-,-,-,-,-,-
,Manx,18,1,2,-,-,-,11,-,-,1,-,-,-,3,,23,1,2,1,-,-,11,1,-,1,-,-,2,4
,Mauritanian,250,14,18,44,60,6,6,29,39,1,4,4,21,4,,239,14,22,37,59,3,6,26,36,2,3,4,21,6
,Mauritian,"1,274",57,127,160,311,28,59,165,198,25,36,28,44,38,,"1,245",54,135,155,314,27,58,154,186,23,27,23,51,41
,Mexican,35,1,7,6,3,2,4,-,2,3,2,1,-,4,,44,2,8,7,4,1,4,-,1,4,4,1,4,4
,Moldovan,7,2,-,-,-,-,-,2,1,1,-,1,-,-,,12,3,-,-,2,1,1,2,1,1,-,1,-,-
,Mongolian,8,-,-,-,1,-,2,3,2,-,-,-,-,-,,7,-,1,-,1,-,2,2,1,-,-,-,-,-
,Montenegrin,1,-,-,-,-,-,-,-,-,1,-,-,-,-,,3,-,-,-,-,-,1,1,-,1,-,-,-,-
,Montserratian,2,-,-,-,-,-,-,-,-,-,-,-,2,-,,3,2,-,-,-,-,-,-,-,-,-,-,1,-
,Moroccan,49,-,7,4,10,-,2,8,4,4,4,3,1,2,,51,1,8,5,7,-,3,9,4,5,4,2,1,2
,Motswana,43,-,5,1,6,1,7,1,4,5,1,1,2,9,,44,-,4,2,7,1,7,2,4,3,1,3,2,8
,Mozambican,6,1,-,-,-,-,1,1,1,-,1,-,-,1,,10,1,4,-,-,-,1,1,1,-,1,-,-,1
,Namibian,24,1,1,3,2,-,2,-,3,8,1,-,1,2,,26,1,4,1,3,-,2,-,1,8,1,1,1,3
,Nepalese,"1,468",18,98,557,103,20,27,242,125,45,59,91,54,30,,"1,501",20,119,523,119,20,18,253,133,47,61,101,56,32
,New Zealand,624,16,57,53,115,8,31,90,107,42,25,29,21,31,,619,20,51,62,104,7,29,92,111,49,21,23,21,30
,Nicaraguan,1,-,-,-,-,-,-,-,-,-,-,1,-,-,,1,-,-,-,-,-,-,-,-,-,-,1,-,-
,Nigerian,"4,920",187,346,254,"1,151",64,413,491,"1,167",141,120,96,282,215,,"5,218",217,399,281,"1,210",90,418,509,"1,219",132,118,92,308,227
,Nigerien,93,1,6,6,17,1,8,12,14,2,5,-,13,8,,121,3,9,6,24,2,14,14,17,3,5,-,17,7
,Ni-Vanuatu,1,-,-,-,-,-,1,-,-,-,-,-,-,-,,1,-,-,-,-,-,1,-,-,-,-,-,-,-
,Norfolk Islander,2,-,-,-,-,-,1,-,1,-,-,-,-,-,,2,-,-,-,-,-,1,-,1,-,-,-,-,-
,Omani,18,1,11,-,1,1,1,-,-,2,1,-,-,-,,25,1,10,-,3,3,2,-,-,2,1,1,-,2
,Pakistani,"3,092",256,264,171,242,118,647,151,155,100,79,82,411,419,,"3,365",317,328,202,240,127,692,154,151,95,89,83,461,429
,Palauan,2,-,-,-,1,-,-,-,-,-,-,-,-,1,,2,-,-,-,1,-,-,-,-,-,-,-,-,1
